SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RBIRTH2011,RBIRTH2012,RBIRTH2013,RDEATH2011,RDEATH2012,RDEATH2013,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RNETMIG2011,RNETMIG2012,RNETMIG2013
40,2,4,46,South Dakota,814180,814180,816211,823772,834047,844877,2031,7561,10275,10830,2951,11784,11828,11992,1938,7167,6876,6736,1013,4617,4952,5256,260,918,1186,1040,828,1870,4096,4762,1088,2788,5282,5802,-70,156,41,-228,14.37088067,14.26935027,14.2853399,8.740334504,8.29523609,8.02418692,5.63054617,5.974114183,6.261152977,1.1195238,1.430795521,1.238888717,2.280511444,4.941432086,5.672680836,3.400035244,6.372227608,6.911569553
40,3,6,47,Tennessee,6346105,6346113,6356683,6398361,6454914,6495978,10570,41678,56553,41064,19786,78617,80214,79933,14321,59836,60226,60358,5465,18781,19988,19575,1991,7355,9006,8155,3198,15799,27345,12649,5189,23154,36351,20804,-84,-257,214,685,12.32720169,12.48148818,12.34401461,9.382327493,9.371308091,9.321056804,2.9448742,3.11018009,3.022957801,1.153269248,1.401354908,1.259372714,2.477294473,4.254946697,1.953378964,3.630563721,5.656301604,3.212751678
40,3,7,48,Texas,25145561,25145561,25245178,25640909,26060796,26448193,99617,395731,419887,387397,94513,381746,379846,381897,41063,167428,171027,173852,53450,214318,208819,208045,15284,61094,66537,64187,29891,117521,142650,113528,45175,178615,209187,177715,992,2798,1881,1637,15.00394401,14.6937514,14.5459666,6.580502054,6.615913344,6.621799555,8.423441952,8.077838052,7.924167041,2.401206444,2.573880301,2.444800451,4.618983574,5.518193259,4.324135816,7.020190018,8.092073559,6.768936267
40,4,8,49,Utah,2763885,2763885,2774424,2814784,2854871,2900872,10539,40360,40087,46001,12769,51923,50915,50840,3697,15009,14915,14875,9072,36914,36000,35965,1045,4131,4437,4353,459,-766,-269,5567,1504,3365,4168,9920,-37,81,-81,116,18.57973437,17.96052846,17.66583393,5.370707263,5.261343062,5.168750585,13.20902711,12.6991854,12.49708335,1.478205857,1.565174601,1.512576222,-0.274099658,-0.094891135,1.934415765,1.204106199,1.470283465,3.446991987
40,1,1,50,Vermont,625741,625745,625793,626320,625953,626630,48,527,-367,677,1472,6054,6074,6009,1331,5394,5202,5115,141,660,872,894,103,428,479,464,-166,-460,-1701,-653,-63,-32,-1222,-189,-30,-101,-17,-28,9.670053741,9.700760138,9.594573773,8.615835791,8.308092565,8.167123456,1.05421795,1.392667573,1.427450317,0.683644368,0.765008908,0.740869068,-0.734757965,-2.716660025,-1.042645477,-0.051113598,-1.951651118,-0.301776409
40,3,5,51,Virginia,8001024,8001031,8024417,8105850,8186628,8260405,23386,81433,80778,73777,25530,102348,103070,103284,14697,59715,60503,60916,10833,42633,42567,42368,7170,25263,33350,29762,5324,10904,4808,3099,12494,36167,38158,32861,59,2633,53,-1452,12.69018052,12.65246453,12.55959054,7.404093187,7.427108387,7.407536666,5.286087329,5.225356143,5.152053869,3.132372204,4.093913768,3.619133007,1.3519925,0.590211016,0.376846085,4.484364704,4.684124785,3.995979092
40,4,9,53,Washington,6724540,6724543,6742256,6821481,6895318,6971406,17713,79225,73837,76088,21243,86690,87285,87554,11817,49117,50719,51052,9426,37573,36566,36502,4875,19022,22824,21384,3498,23112,14565,17027,8373,42134,37389,38411,-86,-482,-118,1175,12.78261293,12.72673019,12.62792856,7.242399348,7.395165592,7.363238787,5.540213586,5.331564602,5.264689771,2.804831736,3.32789013,3.084218017,3.407910372,2.123673315,2.455807154,6.212742108,5.451563444,5.540025171
40,3,5,54,West Virginia,1852994,1852999,1854146,1855184,1856680,1854304,1147,1038,1496,-2376,5060,20450,20591,20408,5230,21427,21515,21424,-170,-977,-924,-1016,238,934,1024,981,1203,951,1473,-1894,1441,1885,2497,-913,-124,130,-77,-447,11.02625002,11.09469528,10.99870008,11.55302979,11.59255835,11.54626374,-0.526779769,-0.497863068,-0.547563665,0.503594989,0.551744353,0.528700744,0.512761065,0.79367132,-1.020753525,1.016356054,1.345415673,-0.492052782
40,2,3,55,Wisconsin,5686986,5686983,5689060,5708785,5724554,5742713,2077,19725,15769,18159,16700,67778,67652,67123,11757,47766,47357,46840,4943,20012,20295,20283,1343,5634,5815,5876,-3885,-6200,-10141,-8158,-2542,-566,-4326,-2282,-324,279,-200,158,11.89312541,11.83416323,11.70688709,8.381584414,8.284019218,8.169339739,3.511540997,3.550144013,3.537547351,0.988607934,1.017200662,1.024830066,-1.087924954,-1.773934981,-1.422832485,-0.09931702,-0.756734319,-0.398002419
40,4,8,56,Wyoming,563626,563626,564222,567329,576626,582658,596,3107,9297,6032,1859,7472,7419,7549,1285,4429,4288,4409,574,3043,3131,3140,114,241,434,325,-119,-284,5601,2616,-5,-43,6035,2941,27,107,131,-49,13.20665176,12.97078994,13.02355592,7.828193338,7.496798388,7.606419135,5.378458417,5.473991547,5.417136784,0.425964009,0.758771106,0.560690909,-0.501965886,9.79234323,4.513130519,-0.076001877,10.55111434,5.073821428
40,X,X,72,Puerto Rico Commonwealth,3725789,3725789,3721208,3686580,3651545,3615086,-4581,-34628,-35035,-36459,9604,41203,40277,38846,7088,30067,29548,29541,2516,11136,10729,9305,-7097,-45764,-45764,-45764,0,0,0,0,-7097,-45764,-45764,-45764,0,0,0,0,11.12423844,10.97746359,10.69161211,8.117672914,8.053283366,8.130590366,3.006565523,2.924180223,2.561021744,-12.35564517,-12.47294098,-12.59565815,0,0,0,-12.35564517,-12.47294098,-12.59565815
